date,country,total_revenue,iap_revenue,ad_revenue,subscription_revenue,revenue_users,avg_revenue_per_user
2025-09-15,BD,0.002,0.0,0.002,0.0,3,0.001
2025-09-15,CA,0.0,0.0,0.0,0.0,1,0.0
2025-09-15,IN,103.523,98.236,5.287,0.0,1760,0.059
2025-09-15,MU,0.087,0.0,0.087,0.0,2,0.044
2025-09-15,MY,0.0,0.0,0.0,0.0,1,0.0
2025-09-15,NP,0.0,0.0,0.0,0.0,2,0.0
2025-09-15,RU,0.026,0.0,0.026,0.0,3,0.009
2025-09-15,US,0.0,0.0,0.0,0.0,2,0.0
2025-09-16,AE,0.058,0.0,0.058,0.0,2,0.029
2025-09-16,BD,0.0,0.0,0.0,0.0,1,0.0
2025-09-16,DE,0.068,0.0,0.068,0.0,1,0.068
2025-09-16,IN,19.471,3.506,15.964,0.0,2889,0.007
2025-09-16,IQ,0.0,0.0,0.0,0.0,1,0.0
2025-09-16,IT,0.0,0.0,0.0,0.0,1,0.0
2025-09-16,MU,0.071,0.0,0.071,0.0,3,0.024
2025-09-16,MY,0.0,0.0,0.0,0.0,1,0.0
2025-09-16,NL,0.146,0.0,0.146,0.0,1,0.146
2025-09-16,NP,0.0,0.0,0.0,0.0,1,0.0
2025-09-16,QA,0.005,0.0,0.005,0.0,1,0.005
2025-09-16,US,0.0,0.0,0.0,0.0,2,0.0
2025-09-16,VN,0.0,0.0,0.0,0.0,1,0.0
2025-09-17,AE,0.015,0.0,0.015,0.0,1,0.015
2025-09-17,BD,0.001,0.0,0.001,0.0,3,0.0
2025-09-17,BH,0.0,0.0,0.0,0.0,1,0.0
2025-09-17,BR,0.003,0.0,0.003,0.0,1,0.003
2025-09-17,CA,0.0,0.0,0.0,0.0,1,0.0
2025-09-17,GR,0.008,0.0,0.008,0.0,1,0.008
2025-09-17,IN,23.601,3.888,19.712,0.0,3430,0.007
2025-09-17,KW,0.002,0.0,0.002,0.0,1,0.002
2025-09-17,MU,0.016,0.0,0.016,0.0,4,0.004
2025-09-17,MY,0.015,0.0,0.015,0.0,2,0.008
2025-09-17,NL,0.003,0.0,0.003,0.0,1,0.003
2025-09-17,NP,0.0,0.0,0.0,0.0,4,0.0
2025-09-17,PL,0.0,0.0,0.0,0.0,1,0.0
2025-09-17,SA,0.016,0.0,0.016,0.0,1,0.016
2025-09-17,SG,0.0,0.0,0.0,0.0,1,0.0
2025-09-17,TH,0.011,0.0,0.011,0.0,1,0.011
2025-09-17,US,0.046,0.0,0.046,0.0,3,0.015
2025-09-18,AU,0.0,0.0,0.0,0.0,1,0.0
2025-09-18,BD,0.0,0.0,0.0,0.0,5,0.0
2025-09-18,BR,0.008,0.0,0.008,0.0,1,0.008
2025-09-18,CA,0.0,0.0,0.0,0.0,1,0.0
2025-09-18,DE,0.178,0.0,0.178,0.0,2,0.089
2025-09-18,FR,0.0,0.0,0.0,0.0,1,0.0
2025-09-18,GB,0.0,0.0,0.0,0.0,2,0.0
2025-09-18,HT,0.0,0.0,0.0,0.0,1,0.0
2025-09-18,IN,76.374,59.935,16.439,0.0,3223,0.024
2025-09-18,KW,0.0,0.0,0.0,0.0,1,0.0
2025-09-18,MU,0.02,0.0,0.02,0.0,1,0.02
2025-09-18,MY,0.088,0.0,0.088,0.0,3,0.029
2025-09-18,NP,0.003,0.0,0.003,0.0,6,0.0
2025-09-18,RE,0.0,0.0,0.0,0.0,1,0.0
2025-09-18,TH,0.0,0.0,0.0,0.0,1,0.0
2025-09-18,US,0.0,0.0,0.0,0.0,1,0.0
2025-09-19,BD,0.0,0.0,0.0,0.0,3,0.0
2025-09-19,CA,0.0,0.0,0.0,0.0,1,0.0
2025-09-19,DE,0.044,0.0,0.044,0.0,1,0.044
2025-09-19,GB,0.0,0.0,0.0,0.0,1,0.0
2025-09-19,HN,0.006,0.0,0.006,0.0,1,0.006
2025-09-19,HT,0.005,0.0,0.005,0.0,1,0.005
2025-09-19,ID,0.0,0.0,0.0,0.0,1,0.0
2025-09-19,IN,49.03,34.676,14.355,0.0,3162,0.016
2025-09-19,MU,0.044,0.0,0.044,0.0,2,0.022
2025-09-19,MY,0.041,0.0,0.041,0.0,5,0.008
2025-09-19,NP,0.0,0.0,0.0,0.0,2,0.0
2025-09-19,PK,0.0,0.0,0.0,0.0,1,0.0
2025-09-19,RE,0.0,0.0,0.0,0.0,1,0.0
2025-09-19,RW,0.0,0.0,0.0,0.0,1,0.0
